threshold,precision,recall,f1
0.515,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.52,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.525,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.53,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.535,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.54,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.545,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.55,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.555,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.56,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.5650000000000001,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.5700000000000001,0.8205128205128205,0.8888888888888888,0.8533333333333333
0.5750000000000001,0.8205128205128205,0.8888888888888888,0.8533333333333333
